name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,4263,40464205,,,,,,,-122.752511,45.604273,,,
,4264,2136559437,,,,,,,-122.7528901,45.6035321,,,
,4265,40473845,,,,,,,-122.7527623,45.6033227,,,
,4266,40473173,,,,,,,-122.752723,45.6032801,,,
,4267,7974962259,,,,,,,-122.7524021,45.6028143,,,
,4268,40381680,,,,,,,-122.7520483,45.60219,,,
,4269,40474065,,,,,,,-122.710859,45.529854,,,
,4270,40474075,,,,,,,-122.7095891,45.5292055,,,
,4271,1391842121,,,,,,,-122.7167108,45.5337745,,,
,4272,8389530697,,,,,,,-122.7181933,45.533666,,,
,4273,1391842116,,,,,,,-122.7184659,45.5336631,,,
,4274,4989180100,,,,,,,-122.6836623,45.5343523,,,
,4275,40474162,,,,,,,-122.6845571,45.5343326,,,
,4276,1684953954,,,,,,,-122.6717996,45.5402444,,,
,4277,1684953979,,,,,,,-122.6722812,45.5405689,,,
,4278,40475693,,,,,,,-122.6984249,45.5655203,,,
,4279,40475694,,,,,,,-122.6984205,45.566399,,,
,4280,40475697,,,,,,,-122.6984579,45.5870734,,,
,4281,40475700,,,,,,,-122.6984671,45.5885735,,,
,4282,4131829708,,,,,,,-122.6978983,45.5777616,,,
,4283,40475710,,,,,,,-122.6978975,45.5780314,,,
,4284,40450411,,,,,,,-122.6982089,45.5699416,,,
,4285,8623535635,crossing,,,,,,-122.6982078,45.5700177,,,
,4286,8630895952,crossing,,,,,,-122.698207,45.570059,,,
,4287,40475716,,,,,,,-122.6982071,45.5703943,,,
,4288,40475719,,,,,,,-122.6982093,45.5711278,,,
,4289,40475724,,,,,,,-122.6982076,45.5723587,,,
,4290,40446697,,,,,,,-122.6982058,45.5736106,,,
,4291,40475726,,,,,,,-122.6982105,45.5746286,,,
,4292,40475728,,,,,,,-122.6982104,45.5758651,,,
,4293,8900223971,,,,,,,-122.6982071,45.5766317,,,
,4294,7442280094,,,,,,,-122.6982079,45.5766678,,,
,4295,7041013995,,,,,,,-122.6982071,45.5769325,,,
,4296,40475730,,,,,,,-122.6982065,45.5771191,,,
,4297,40475737,,,,,,,-122.6986412,45.5664003,,,
,4298,40475742,,,,,,,-122.6986196,45.5682067,,,
,4299,8630895922,crossing,,,,,,-122.6985985,45.5698386,,,
,4300,8623536128,crossing,,,,,,-122.6985988,45.5698773,,,
,4301,40450412,,,,,,,-122.6985982,45.5699408,,,
,4302,40444984,,,,,,,-122.682093,45.5495999,,,
,4303,7576297420,,,,,,,-122.6820924,45.5496712,,,
,4304,7978981586,,,,,,,-122.6820825,45.5508019,,,
,4305,40476645,,,,,,,-122.6820823,45.5508623,,,
,4306,7978981588,,,,,,,-122.6820815,45.5509389,,,
,4307,7978913562,,,,,,,-122.6820735,45.5520575,,,
,4308,40476648,,,,,,,-122.682073,45.5521252,,,
,4309,8007800343,,,,,,,-122.682064,45.5533229,,,
,4310,40476651,,,,,,,-122.6820624,45.553385,,,
,4311,1343651813,,,,,,,-122.6823585,45.5472768,,,
,4312,1543653125,,,,,,,-122.6823214,45.547696,,,
,4313,40476979,,,,,,,-122.7458862,45.6008027,,,
,4314,40476989,,,,,,,-122.7475186,45.6014598,,,
,4315,40476994,,,,,,,-122.706753,45.5329765,,,
,4316,40476996,,,,,,,-122.7067572,45.5332116,,,
,4317,1315920459,,,,,,,-122.7067632,45.5334786,,,
,4318,1559819856,crossing,,,,,,-122.7067786,45.5338533,,,
,4319,40477479,stop,,,,,,-122.7792624,45.537338,,,
,4320,444129601,,,,,,,-122.7795295,45.5370392,,,
,4321,40477483,,,,,,,-122.7797182,45.536733,,,
,4322,40477488,,,,,,,-122.7798028,45.536506,,,
,4323,40477668,,,,,,,-122.7640003,45.547047,,,
,4324,40477692,,,,,,,-122.764405,45.5471204,,,
,4325,40477867,,,,,,,-122.731696,45.580235,,,
,4326,40437833,,,,,,,-122.7314021,45.580631,,,
,4327,40477876,,,,,,,-122.7324644,45.5791955,,,
,4328,40477877,,,,,,,-122.7322084,45.5795512,,,
,4329,40478544,,,,,,,-122.7346808,45.5896723,,,
,4330,40478555,,,,,,,-122.7368012,45.5901146,,,
,4331,40478728,,,,,,,-122.7192811,45.5413479,,,
,4332,40478729,,,,,,,-122.7200533,45.5409652,,,
,4333,40478736,,,,,,,-122.7467662,45.5903822,,,
,4334,40478739,,,,,,,-122.7461437,45.5915897,,,
,4335,40478743,,,,,,,-122.74545,45.5929353,,,
,4336,40478747,,,,,,,-122.7447584,45.5942708,,,
,4337,40478754,,,,,,,-122.7440945,45.5955785,,,
,4338,1417697683,,,,,,,-122.7437798,45.5962618,,,
,4339,40478991,,,,,,,-122.7367332,45.5952866,,,
,4340,1836906365,,,,,,,-122.7368717,45.5953371,,,
,4341,4424533127,,,,,,,-122.7374519,45.5954764,,,
,4342,40478994,,,,,,,-122.7376792,45.595531,,,
,4343,40479013,,,,,,,-122.742472,45.5966072,,,
,4344,40479016,,,,,,,-122.7415611,45.596394,,,
,4345,40478761,,,,,,,-122.7435039,45.5968571,,,
,4346,40479030,,,,,,,-122.7444317,45.5970784,,,
,4347,40479033,,,,,,,-122.744908,45.597192,,,
,4348,40479038,,,,,,,-122.7453957,45.5973083,,,
,4349,40479042,,,,,,,-122.7473323,45.5977684,,,
,4350,40479046,,,,,,,-122.7489524,45.5981317,,,
,4351,40479060,turning_circle,,,,,,-122.7338707,45.5953425,,,
,4352,40479063,,,,,,,-122.7348395,45.5953186,,,
,4353,40478765,,,,,,,-122.7432435,45.5973909,,,
,4354,40479069,,,,,,,-122.7422116,45.5971461,,,
,4355,40380766,,,,,,,-122.7291604,45.5951165,,,
,4356,40479076,,,,,,,-122.7291205,45.5953323,,,
,4357,40479225,,,,,,,-122.7214773,45.52268,,,
,4358,40479230,turning_circle,,,,,,-122.7221111,45.5224839,,,
,4359,40479237,,,,,,,-122.6874238,45.5771241,,,
,4360,7442387275,,,,,,,-122.6874273,45.5774467,,,
,4361,8505973862,,,,,,,-122.6874278,45.5776259,,,
,4362,40479238,,,,,,,-122.6874338,45.5788275,,,
,4363,40479265,,,,,,,-122.6861383,45.5521488,,,
,4364,8007800335,,,,,,,-122.6861372,45.5522202,,,
,4365,8007800315,,,,,,,-122.6861247,45.5533387,,,
,4366,40479268,,,,,,,-122.6861244,45.5534044,,,
,4367,8007795745,crossing,,,,,,-122.6861234,45.5534763,,,
,4368,8007795747,,,,,,,-122.6861136,45.5545937,,,
,4369,40466230,,,,,,,-122.6861131,45.5546634,,,
,4370,2065707639,,,,,,,-122.7480562,45.5237559,,,
,4371,2065707647,,,,,,,-122.7485991,45.5244375,,,
,4372,4924068592,,,,,,,-122.7487412,45.5246225,,,
,4373,4924068620,,,,,,,-122.7487861,45.5246803,,,
,4374,40479491,,,,,,,-122.7489648,45.5251072,,,
,4375,40486745,,,,,,,-122.7042518,45.5262611,,,
,4376,4928404717,,,,,,,-122.763719,45.5355224,,,
,4377,40487698,,,,,,,-122.763524,45.53525,,,
,4378,40488386,,,,,,,-122.6683532,45.6062295,,,
,4379,2463179533,,,,,,,-122.6684811,45.6062516,,,
,4380,40488390,,,,,,,-122.6688699,45.6063143,,,
,4381,40488702,,,,,,,-122.7557869,45.5869301,,,
,4382,40488704,,,,,,,-122.7555599,45.5873103,,,
,4383,40488790,turning_circle,,,,,,-122.691304,45.613129,,,
,4384,40488809,,,,,,,-122.6904685,45.6136685,,,
,4385,40488817,,,,,,,-122.6898009,45.6143543,,,
,4386,40489157,,,,,,,-122.7642775,45.5331847,,,
,4387,40489203,,,,,,,-122.762138,45.532102,,,
,4388,40489209,turning_circle,,,,,,-122.7618294,45.5313757,,,
,4389,40490856,,,,,,,-122.6924278,45.5826951,,,
,4390,40490857,,,,,,,-122.6948141,45.5827038,,,
,4391,40490862,,,,,,,-122.6972256,45.582668,,,
,4392,40490881,,,,,,,-122.671716,45.5827446,,,
,4393,40452741,,,,,,,-122.6723471,45.582745,,,
,4394,40490885,,,,,,,-122.67336,45.5827456,,,
,4395,40490888,,,,,,,-122.6743584,45.5827462,,,
,4396,40491796,,,,,,,-122.758079,45.539034,,,
,4397,40491811,,,,,,,-122.7579519,45.5381537,,,
,4398,40491831,,,,,,,-122.7565662,45.5365188,,,
,4399,8523353821,,,,,,,-122.7549255,45.535117,,,
,4400,454177739,,,,,,,-122.7543922,45.5352278,,,
,4401,40492025,traffic_signals,,signal,,,,-122.6868166,45.5220354,,,
,4402,40492026,traffic_signals,,signal,,,,-122.6871754,45.5213708,,,
,4403,5125682813,,,,,,,-122.6874008,45.5209638,,,
,4404,5125682815,,,,,,,-122.6874676,45.5208442,,,
,4405,40492032,traffic_signals,,signal,,,,-122.6875481,45.5206894,,,
,4406,5125682770,,,,,,,-122.6877276,45.5203519,,,
,4407,40492037,stop,,,,,,-122.6879011,45.5200333,,,
,4408,5125682784,,,,,,,-122.6881911,45.5195005,,,
,4409,40492040,,,,,,,-122.6882626,45.5193691,,,
,4410,8744693825,,,,,,,-122.7180715,45.5799137,,,
,4411,40492533,,,,,,,-122.7178548,45.5802001,,,
,4412,40597687,,,,,,,-122.700634,45.518288,,,
,4413,1357252301,,,,,,,-122.7008294,45.5192934,,,
,4414,40492990,,,,,,,-122.7559513,45.5983867,,,
,4415,40445402,,,,,,,-122.7568869,45.5999355,,,
,4416,40492995,,,,,,,-122.7578625,45.6015278,,,
,4417,7890745581,,,,,,,-122.7587542,45.6029936,,,
,4418,40493045,,,,,,,-122.7966858,45.5796914,,,
,4419,40493055,,,,,,,-122.7955624,45.5802942,,,
,4420,40493072,,,,,,,-122.715398,45.5820892,,,
,4421,40493074,,,,,,,-122.7166758,45.5825154,,,
,4422,2142147470,,,,,,,-122.717621,45.5828506,,,
,4423,40493234,,,,,,,-122.7248856,45.5745794,,,
,4424,40493237,,,,,,,-122.7245961,45.5749677,,,
,4425,40493239,,,,,,,-122.7243483,45.5753001,,,
,4426,40493242,,,,,,,-122.724081,45.5756588,,,
,4427,40493243,,,,,,,-122.7238166,45.5760136,,,
,4428,40493245,,,,,,,-122.7235509,45.5763703,,,
,4429,40493248,,,,,,,-122.7232865,45.5767251,,,
,4430,40493251,,,,,,,-122.7230215,45.5770807,,,
,4431,40437803,,,,,,,-122.7227566,45.5774363,,,
,4432,40493253,,,,,,,-122.7224822,45.5778046,,,
